క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
తఱిద్రోక్కు ,"కాలము సమీపించు,ఆసన్నమరణుడగు",,,,,1,2,,,,
తఱియబడు,"తెగించు,సాహసించు,చొచ్చు,ప్రవేశించు",,2,,,,1,,,,
తఱియు,"కూడు,చేరు,కలియు,తొలగు.",,,,,2,,1,,,
తఱివడు,"నొక్కుపడు,వల్లములేర్పడు,ఒత్తులు, జాడలుపడు.",,,1,,,,2,,,
తఱుగు,"తగ్గు,కృశించు,క్షయించు",,,1,,,,2,,,
తఱుయు,"అఱుము,కవియు,విజృబించు,ఉద్రేకించు, అతిశయించు,త్వరపడు,వేగిరపడు,త్రొటుపడు,సంబ్ర్రమించు. ",,,1,,2,,,,,
తఱుముడువడు,"తఱుమబడు, పరుగుతోవెంబడింపబడు",,,,1,,2,,,,
తల(లయ)oటు ,"అభ్యాంగమునకై,తంమీద,నూనెపెట్టిరాచు, నెత్తిపై కొట్టు.  ",,,,1,,2,,,,
తలకాడు,"చలించు,కదలు,తావకు",,,1,2,,,,,,
తలకు,"భయపడు,వెఱుచు,జంకు,వెనుదేయు, సంకోచపడు,బాధనొంధు,ఁశమపడు, దుఃఖపడు,చింతించు,కంపించు,విరియు, విడిపోవు.",,,,,1,2,,,,
తలకు - తోలకు,"తొనకు, పైకి, ప్రసరించు ",,2,1,,,,,,,
తలకొత్తు,"తలకునొoదు, సందేహించు ",,2,,,,1,,,,
తలగబడు-తలగు,"వెనుదేయు, నివృత్తమగు",,2,,,,1,,,,
తలగు - తలుగు,"తొలగు,అపసరిల్లు,అంతర్ధానమగు,పోవు, నశించు.                                                       ",,,1,,2,,,,,
తలచు,"వివేచించు, యుక్తాయుక్తవిచారణచేయు, విచారించు, యోజించు,",,1,,,,2,,,,
తలపుచేయు,"ఎంచు, భావించు",తలపు,2,,,,1,,,,
తలపునబాఱు-తలపువాఱు,"స్మృతికివచ్చు, జ్ఞప్తికివచ్చు",,1,,,,2,,,,
తలపుబాఱు-తలపునబాఱు,"స్మృతికివచ్చు, జ్ఞప్తికివచ్చు",,2,,,,1,,,,
తలకడచు,"సంతోషముచే ఎగయు, పైకిలేచు 

",తల,,1,2,,,,,,
తలకుమీఱు,"మించు, అతిశయించు",తల,1,,,2,,,,,
తలకూడు,"సిద్ధించు, నెఱవేఱు, ఫలించు, కలుగు, సంభవించు",,1,,,2,,,,,
తలకెక్కు,"నెత్తికెక్కు. (మందులుమున్నగునవి), తలకు ప్రసరించు, మనసునకంటు, నాటు",,,,,1,2,,,,
తలకెడవువడు,తలక్రిందగు,తలకెడవు,,1,,2,,,,,
తలకొను-తక్కొను,"కలుగు, పుట్టు, నెలవుకొను, ఉండు, తలయందుండు, తలనుజేరు, పూను, కడగు, యత్నించు, మించు, అతిశయించు, రేగు, రెచ్చు, 
",,,,,1,2,,,,
తలకొనుదెంచు,"కలుగు, సంభవించు",,,,,2,1,,,,
తలగడగు,"అభ్యంగము చేయు, తలయంటి నీళ్ళు పోసికొను, అంటినతలకు నీళ్ళు పోయు",తల,,,1,,2,,,,
తలచూపు,"పొడచూపు, కనబడు, పొడము, పుట్టు, తలయెత్తుకొని తిరుగు, గౌరవముతో మెలగు",,1,,,,2,,,,
తలచెడు,"పరుగెత్తుటచే జుట్టు చెదరు, ధైర్యమ్య్ గొల్పోవు, అధైర్యపడు, వైధవ్యమొందు.",,2,,,1,,,,,
తలడించు-తల్లడించు,చలించు,,,1,2,,,,,,
తలపడు,"సిద్ధపడు, తొడగు, కదియు, చేరు, సమీపించు",,1,,,,2,,,,
తలపోయు-తలచు,"యుక్తాయుక్త విచారణచేయు, వివేచించు, మంతనముచేయు, సంకల్పించు, ఎంచు, విచారించు, చింతించు. 

",,2,,,1,,,,,
తలమించు,"అతిశయించు, మించు",,1,,,2,,,,,
తలమీఱు,ముందఱికివచ్చు. ,,,1,,,2,,,,
తలముదప్పు,"శక్తికి మీఱు, ఆశక్యమగు, మేరమీఱు, అమితమగు",,2,,,,1,,,,
తలమునుగు,"అతిశయించు, మిక్కుటమగు, దుర్భరమగు",తల,1,,,2,,,,,
తలయె(లె)త్తు,"తలపైకెత్తు, ఉన్నమితశిరస్కమగు, పొడసూపు, కనబడు, పెఉగు, వర్ధిల్లు, చెలరేగు, విజృంభించు, తెగు, సాహసించు.",,,,,1,2,,,,
తలరాచు-తనరారు,ఒప్పు,,1,,,2,,,,,
తలరు,"చలించు, కంపించు, వణకు, జంకు, వెనుదీయు, సంభ్రమించు, త్వరపడు, కలగు, క్షోభించు, బాధపడు, చింతించు, విచారించు, దుఃఖించు, తొలగు, చెదరిపోవు, తరలు, వెడలు, ప్రయాణమగు, అతిశయించు, విజృఅంభించు, తనరు, ఒప్పు, ప్రకాశించు",,,1,,,2,,,,
తలవంచు,అవమానపడు,,,1,,,2,,,,
తలారించు,"మరలు, మళ్ళు",తలారి,,,1,,2,,,,
తలిరించు,చిగుర్చు,తలిరు,,1,,2,,,,,
తలిర్చు,"చిగురించు, పల్లవించు, తోచు, కంపట్టు, మించు, అతిశయించు,ఒప్పు, సంతోషించు",,,1,,2,,,,,
తలుగు-తలగు,"తొలగు, పోవు",,,1,,2,,,,,
తలిరుకొ(ర్కొ)ను,"చిగుర్చు, వ్యాపించు. ",,,1,,2,,,,,
తలి(రుచు)ర్చు,చిగురించు.పల్లవించు,,,2,,1,,,,,
తల్లడకుడుచు,తల్లదము నొందు,,,,1,,2,,,,
తల్లడపడు,"తల్లదము నొందు, చలించు, కంపించు, వడకు, క్షోభపడు, బాధనొందు",,,1,,,2,,,,
తల్లడించు-తల్లడిల్లు,"చలించు, కంపించు, క్షోభపడు, కలతపడు, భీతిల్లు, జడియు, జంకు, దుఃఖించు. ",తల్లడము,,1,,,2,,,,
తళివెట్టు,దిబ్భలుపోయు,,,1,,,,2,,,
తళుకారు,మిక్కిళి ప్రకాశవంతమగు,,,1,,2,,,,,
తళుకుచూపు,"కాంతినిచ్చు, ప్రకాశించు, బయలుపడు, ప్రకాశితమగు, అతిశయించు, కలుగు, సంభవించు",,,,,1,2,,,,
తళుకెక్కు,ప్రస్ఫుటమగు,,,2,,1,,,,,
తళుకొత్తు,"మిక్కిలి ప్రకాశించు, శోభిల్లు, ఒప్పు, ప్రసరించు, వ్యాపించు, అతిశయించు, కలుగు, పుట్టు",,,1,,,2,,,,
తళ్ళుకొను,అతిశయించు,తళ్ళు,1,,,2,,,,,
తవణించు,"ఒప్పు, ఎసగు",,1,,2,,,,,,
తవిడాడు-తడవాడు,ప్రాకియాడు,,,1,2,,,,,,
"తవు-తౌ,తగు","ఒప్పు, పొసగు",,1,,,2,,,,,
తవులబడు,"చిక్కు, లగ్నమగు, నిరుద్ధమగు, ఆకపడు, అరికట్టబడు, తాకు, కవియు",తవులు,,,1,,2,,,,
తవులు,"ఆసక్తమగు, ఆసక్తినొందు, చిక్కు, బద్ధమగు, దొరకు, చేపడు, లభించు, విడువకుండబోవు, కలుగు, సంభవించు, ప్రియపడు, ఇష్టపడు, కడగు, పూను, సంబంధం కలిగించుకొను, జోలి కలిగించుకొను. 



",,1,,,,2,,,,
"తవులుపడు-తగులుపడు, తౌలువడు",తగులుపడు,తవులు,,,1,,2,,,,
తసుకు,ప్రేమకలిగినట్లు నటించు,,2,,,1,,,,,
తహతహపడు,తహతహచెందు,తహతహ,,,,1,2,,,,
తహపడు,"క్షోభపడు, బాధపడు",తహతహ,,,,1,2,,,,
తాకోర్చు,"ఒత్తుడు, సహించు",తాకు,,,,2,1,,,,
తాటనపుచ్చు,"కొట్టు, వాయించు",,2,,1,,,,,,
తాకు,"పొడము, కలుగు, సంభవించు, డయ్యు, బడలు, కృశించు



",,,,1,,2,,,,
తాణెముండు,"తాణెములుగా నుండు, దుర్గాదులకు రక్షకముగా నుండు",,1,,,,2,,,,
తారసపడు,"సమీపించు, ఎదురుపడు, ఎదురగు, కవియు, ఒనగూడు, ప్రాప్తించు.",,,,,1,2,,,,
తారసిల్లు(లు),"ఎదురుపడు,ఎదురగు,వచ్చు,వెళ్లు,కడగు,పూను,సంభవించు,ప్రసరించు",,,,,1,2,,,,
తారాడు,"అట్టిట్టు తిరుగు, తిరుగు, వ్రేలాడుచు, నేలపై పొరలు, జేరాడు",,,1,2,,,,,,
తారు,"సంచరించు, మెలగు, ఇట్టట్టు తురుగు, అఱ్ఱాడు, పోవు, వెళ్ళు, పాయు, తొలగు, కలుగు, పుట్టు, ప్రసరించు, ప్యాపించు, క్షీణించు, తగ్గు, కాంతిహీనమగు. 
",,,1,2,,,,,,
